,2015~2020 야구선수,,,데이터 출처: STATIZ,,,"롯데,삼성,해태",,,,,,,,,,,,,,,,,,,,,,,,,
선수명,연도,팀,나이,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,연봉(만 원)
장필준,2017,삼성,29,56,0,0,0,4,8,21,3,67.1,37,35,307,82,9,2,6,26,3,4,82,0,3,4.68,3.66,1.6,108.4,137,1.3,6500
장필준,2018,삼성,30,61,0,0,0,5,5,6,13,66.1,35,32,290,65,15,1,6,25,2,6,74,0,0,4.34,4.09,1.36,122.2,127.5,1.49,6500
장필준,2019,삼성,31,61,0,0,0,3,3,11,15,69.2,29,28,302,64,12,1,7,33,3,3,53,0,4,3.62,4.61,1.39,120,92.5,1.74,6500
장필준,2020,삼성,32,31,0,0,2,0,3,0,4,36,24,23,170,46,9,0,6,16,0,0,26,0,5,5.75,5.61,1.72,85.3,87.5,0.3,21500
양창섭,2018,삼성,19,19,0,0,17,7,6,0,0,87.1,52,49,400,100,22,0,12,34,0,10,49,1,3,5.05,6.01,1.53,105,87.4,1.42,2700
양창섭,2020,삼성,21,7,0,0,0,0,0,0,0,6.2,2,2,29,6,1,0,1,3,1,0,4,0,0,2.7,5.21,1.35,181.7,94.7,0.28,5000
백정현,2015,삼성,28,31,0,0,1,0,0,0,2,28,19,19,135,32,10,1,3,20,1,1,37,0,3,6.11,4.51,1.86,80.8,109.3,0.01,15000
백정현,2016,삼성,29,70,0,0,4,6,3,0,9,68.2,44,44,306,73,12,2,9,30,0,2,77,0,4,5.77,4.65,1.5,91.4,112.3,0.75,15000
백정현,2017,삼성,30,35,0,0,14,8,4,0,3,100.2,52,49,446,110,23,2,11,36,1,6,94,0,4,4.38,4.51,1.45,115.8,111.5,2.14,10000
백정현,2018,삼성,31,25,0,0,23,7,7,1,0,125.2,68,64,540,142,27,2,18,36,0,3,99,0,2,4.58,5.05,1.42,115.7,104.1,2.34,15500
백정현,2019,삼성,32,28,1,1,27,8,10,0,0,157,85,74,677,158,29,4,17,56,0,6,82,0,4,4.24,4.95,1.36,102.3,86.3,2.07,15500
백정현,2020,삼성,33,11,0,0,11,4,4,0,0,59,43,34,258,67,15,2,13,17,0,1,46,0,1,5.19,5.78,1.42,94.6,85.6,0.1,28000
홍정우,2020,삼성,24,30,0,0,0,0,0,0,1,30,23,22,139,37,4,1,5,12,0,1,29,0,1,6.6,5.09,1.63,74.3,96.7,0.07,3000
